BusNo,Routes,TD,TT
51,Gandhipuram Town Bus Stand|Park Gate|Christ The King Church|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Podanur Pirivu|Karuparayan Kovil|P.V.G. Thirumana Mahal|Mayilkal|Sai Nagar|Podanur Police Station|Podanur Railway Station|Rail Kalyana Mandapam|Podanur Railway Gate|Railway S & T Workshop|Sithnapuram|G.D. Wiler|Sam Anna Nagar|Konavaikkalpalayam|Balu Medicals|Mahalingapuram|ELGI Nagar|Bharat Petrol Pump|Senthur Mahal|Sri Subramanyaswamy Temple|Peachiamman Kovil|E.S.I.|Vellalore Bus Stand|Kanjikonam Palayam,0 2 2 1 1 0 1 3 1 5 1 1 1 2 1 2 1 1 1 1 1 1 3 0 1 1 1 1 0 2 0 1 2 2 2 1 4,5:55AM 7:55AM 9:55AM 10:55AM 11:55AM 1:55PM 3:55PM 5:55PM 6:10PM 
51,Kanjikonam Palayam|Vellalore|E.S.I.|Peachiamman Kovil|Sri Subramanyaswamy Temple|Senthur Mahal|Bharat Petrol Pump|ELGI Nagar|Mahalingapuram|Balu Medicals|Konavaikkalpalayam|Sam Anna Nagar|G.D. Wiler|Sithnapuram|Railway S & T Workshop|G.D. Hospital|Podanur Railway Gate|Rail Kalyana Mandapam|Podanur Railway Station|Podanur Police Station|Sai Nagar|Mayilkal|P.V.G. Thirumana Mahal|Karuparayan Kovil|Podanur Pirivu|Kurichi Pirivu|Athupalam|Karumbukadai|Ukkadam|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|Christ The King Church|Park Gate|Gandhipuram Town|Gandhipuram Town Bus Stand,0 3 1 2 2 1 2 0 1 1 1 1 1 0 1 2 1 2 1 1 1 1 2 1 2 1 1 1 5 1 3 1 0 1 0 1 2 3 0,5:55AM 7:55AM 9:55AM 10:55AM 11:55AM 1:55PM 3:55PM 5:55PM 6:10PM 
50,Gandhipuram Town Bus Stand|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Kurichi Pirivu Housing Unit|Iyer Hospital|Madukkarai Market,0 2 3 1 1 0 0 1 3 2 4 1 1 51 21,5:30AM 6:30AM 7:30AM 8:30AM 9:00AM 9:30AM 10:00AM 10:30AM 11:00AM 12:00PM 1:00PM 2:00PM 3:00PM 4:00PM 5:00PM 5:30PM 6:00PM 6:30PM 6:50PM
50,Madukkarai Market|Sundarapuram|Iyer Hospital|Kurichi Pirivu Housing Unit|Kurichi Pirivu|Athupalam|Karumbukadai|Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|Gandhipuram Town Bus Stand,0 19 1 1 5 1 1 5 1 1 1 2 1 1 0 0 1 1 2 3,5:30AM 6:30AM 7:30AM 8:30AM 9:00AM 9:30AM 10:00AM 10:30AM 11:00AM 12:00PM 1:00PM 2:00PM 3:00PM 4:00PM 5:00PM 5:30PM 6:00PM 6:30PM 6:50PM
48B,Gandhipuram Town Bus Stand|Park Gate|Christ The King Church|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kuniyamuthur High School|Kuniyamuthur|Nehru College|Edayarpalayam Pirivu|Kuniyamuthur Police Station|B.K. Pudur|Kovaipudur Pirivu|Milekal|Gandhi Nagar|Madukkarai Police Station|Madukkarai Union Office|Marappalam|Chettipalayam Pirivu|Indian Bank|Thirumalayampalayam Pirivu|Santosh Nagar|K.G. Chavadi|Pichanur|Vanthavalam|Chunnambukalthode|Lakshamveedu|Nallur|Sorappara|Chanthapetai|Kozhippara|Saniswaran|Ealipara|Kottilpara|Menonpara|Athicode Junction|Karugaparai|Kozhinjampara,0 2 2 1 1 0 1 3 1 5 1 3 2 3 1 2 1 2 3 6 1 1 4 2 2 4 5 5 6 9 5 1 2 2 1 2 2 2 3 4 9 4 4,5:15AM 8:15AM 9:15AM 10:15AM 11:15AM 2:15PM 5:15PM 6:15PM 7:15PM 8:15PM 9:45PM
48B,Kozhinjampara|Karugaparai|Athicode Junction|Menonpara|Kottilpara|Ealipara|Saniswaran|Kozhippara|Chanthapetai|Sorappara|Nallur|Lakshamveedu|Chunnambukalthode|Vanthavalam|Pichanur|K.G. Chavadi|Santosh Nagar|Thirumalayampalayam Pirivu|Indian Bank|Chettipalayam Pirivu|Marappalam|Madukkarai Union Office|Madukkarai Police Station|Gandhi Nagar|Milekal|Kovaipudur Pirivu|B.K. Pudur|Kuniyamuthur Police Station|Edayarpalayam Pirivu|Nehru College|Kuniyamuthur|Kuniyamuthur High School|Karumbukadai|Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|Christ The King Church|Park Gate|Gandhipuram Town Bus Stand,0 3 4 10 4 2 3 1 2 2 2 1 2 4 9 17 4 6 4 1 2 5 0 2 6 2 2 2 2 1 3 1 4 5 2 0 2 2 0 1 0 1 1 1 3,5:15AM 8:15AM 9:15AM 10:15AM 11:15AM 2:15PM 5:15PM 6:15PM 7:15PM 8:15PM 9:45PM
48,Gandhipuram Town Bus Stand|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kuniyamuthur High School|Kuniyamuthur|Nehru College|Edayarpalayam Pirivu|Kuniyamuthur Police Station|B.K. Pudur|Kovaipudur Pirivu|Milekal|Gandhi Nagar|Madukkarai Police Station|Madukkarai Union Office|Marappalam|Chettipalayam Pirivu|Indian Bank|Thirumalayampalayam Pirivu|K.G. Chavadi|Pichanur|Vanthavalam,0 2 3 1 1 0 0 1 3 2 4 1 3 2 3 1 2 2 2 2 6 1 1 3 3 1 4 10 16 10,4:45AM 5:45AM 6:45AM 7:45AM 8:45AM 9:15AM 9:45AM 10:15AM 10:45AM 11:15AM 12:15PM 1:15PM 2:15PM 3:15PM 4:15PM 5:15PM 5:45PM 6:15PM 6:45PM 7:15PM 7:45PM 8:15PM
48,Vanthavalam|Pichanur|K.G. Chavadi|Santosh Nagar|Thirumalayampalayam Pirivu|Indian Bank|Chettipalayam Pirivu|Marappalam|Madukkarai Union Office|Madukkarai Police Station|Gandhi Nagar|Milekal|Kovaipudur Pirivu|B.K. Pudur|Kuniyamuthur Police Station|Edayarpalayam Pirivu|Nehru College|Kuniyamuthur|Kuniyamuthur High School|Karumbukadai|Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|Gandhipuram Town Bus Stand,0 9 6 5 5 4 2 2 4 1 1 6 2 3 1 2 1 13 2 4 5 1 1 1 2 1 0 1 0 0 2 2 3,4:45AM 5:45AM 6:45AM 7:45AM 8:45AM 9:15AM 9:45AM 10:15AM 10:45AM 11:15AM 12:15PM 1:15PM 2:15PM 3:15PM 4:15PM 5:15PM 5:45PM 6:15PM 6:45PM 7:15PM 7:45PM 8:15PM
47A,Gandhipuram Town Bus Stand|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Kurichi Pirivu Housing Unit|Iyer Hospital|Sundarapuram|Gandhi Nagar|L.I.C. Colony|Sidco|K.P.M. Matriculation School|Rathinam College|Eachanari|Karpagam University|Ganesh Nagar|Malumichampatti Junction|Malumichampatti|Hindustan College|Othakal Mandapam|Karpagam Medical College & Hospital|Premier Mills,0 2 3 1 1 0 0 1 1 3 2 4 1 2 4 2 1 1 3 1 3 2 2 3 4 3 0 3 3 2 2,6:00AM 9:00AM 10:00AM 11:00AM 2:00PM 5:00PM 6:00PM 7:00PM 7:50PM
47A,Premier Mills|Karpagam Medical College & Hospital|Othakal Mandapam|Hindustan College|Malumichampatti|Malumichampatti Junction|Ganesh Nagar|Karpagam University|Eachanari|Rathinam College|K.P.M. Matriculation School|Sidco|L.I.C. Colony|Gandhi Nagar|Sundarapuram|Iyer Hospital|Kurichi Pirivu Housing Unit|Kurichi Pirivu|Athupalam|Karumbukadai|Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|Gandhipuram Town Bus Stand,0 1 2 4 2 1 2 4 3 2 3 2 2 2 2 1 1 4 2 0 5 2 1 1 2 1 0 0 1 0 1 3 3,6:00AM 9:00AM 10:00AM 11:00AM 2:00PM 5:00PM 6:00PM 7:00PM 7:50PM
