BusNo,Routes,TD,TT
110B,Kurumbapalayam|Gandhi Nagar|Milekal|Kovaipudur Pirivu|B.K. Pudur|Kuniyamuthur Police Station|Edayarpalayam Pirivu|Nehru College|Kuniyamuthur|Kuniyamuthur High School|Karumbukadai|Ukkadam|Prakasam|Raja Street|Five Corner|Manikoondu / Town Hall|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram|Sowripalayam Pirivu|Alvernia School|Andal Marriage Hall / Iyer Hospital|Central Studios|Rajalakshmi Mill|Children Hospital|Boat House|Uzhavar Sandhai|Singanallur|Varadharajapuram|E.S.I. Hospital,0 4 6 2 2 2 2 1 3 1 4 5 2 0 1 1 2 1 2 1 2 0 2 2 1 2 1 1 2 0 2 2 1 2 1,5:00AM 8:00AM 9:00AM 10:00AM 11:00AM 2:00PM 5:00PM 6:00PM 6:20PM
107,SIHS Colony|Singanallur|Uzhavar Sandhai|Boat House|Children Hospital|Rajalakshmi Mill|Central Studios|Andal Marriage Hall / Iyer Hospital|Alvernia School|Sowripalayam Pirivu|Ramanathapuram|Olympus|Chinthamani|Sungam|Air India|Rainbow|Saint Francis Anglo Indian Girls High School|Government Hospital|Town Hall|Mahalakshmi Bakery|Chetty Street|High School|Selvapuram|Muthusawamy Colony|L.I.C. Colony|Telungupalayam Hospital|Telungupalayam Pirivu|Tamil College|Perur|Perur Chettipalayam|Postal Colony|Arumuga Goundanur|Ramachettipalayam|Sundakkamuthur|Anbu Nagar|Ashram School|Anna Nagar|Om Shakthi Nagar|Mohan Corner|Kovaipudur,0 8 2 2 1 1 2 1 1 2 1 2 2 0 2 1 2 1 3 3 1 3 1 1 1 2 2 3 2 2 1 3 2 2 1 1 1 1 1 1,4:50AM 7:50AM 10:50AM 11:50AM 2:50PM 3:30PM
107,Kovaipudur|Mohan Corner|Krishna Sweets|VOC Nagar|Ashram School|Anbu Nagar|Sundakkamuthur|Ramachettipalayam|Arumuga Goundanur|Postal Colony|Perur Chettipalayam|Perur|Tamil College|Telungupalayam Pirivu Bus Stop|Telungupalayam Hospital|L.I.C. Colony|Muthusawamy Colony|Selvapuram|High School|Chetty Street|Prakasam|Raja Street|Five Corner|Manikoondu / Town Hall|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram|Sowripalayam Pirivu|Alvernia School|Andal Marriage Hall / Iyer Hospital|Central Studios|Rajalakshmi Mill|Children Hospital|Boat House|Uzhavar Sandhai|Singanallur|Neelikonampalayam|SIHS Colony,0 0 1 1 1 1 2 2 1 3 2 2 1 4 1 2 2 0 2 2 4 0 1 1 2 1 2 1 2 0 3 1 1 2 1 1 2 0 2 2 2 4 5,4:50AM 7:50AM 10:50AM 11:50AM 2:50PM 3:30PM
105,Ukkadam|Prakasam|Raja Street|Five Corner|Manikoondu / Town Hall|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram|Sowripalayam Pirivu|Alvernia School|Andal Marriage Hall / Iyer Hospital|Central Studios|Rajalakshmi Mill|Children Hospital|Boat House|Uzhavar Sandhai|Singanallur|Vasantha Mill|Shanthi Gears|Jai Sai Shanthi|Saint Joseph School|Saint Joseph Matriculation Secondary School|Ondipudur|Sri Hari Mills|Kamatchipuram|Kadri Mills High School|Karthik Mills|Krishna Priya Thirumana Mandapam|L & T Bypass|Saraswathi Hospital|Kannampalayam Pirivu|Cindhamanipudur|Pappampatti Pirivu|Selvapuram|Ravathur Pirivu|R.V.S. Institute|Narasimha Textiles|Ranganathapuram|Sulur Police Station|Sulur G.H.|Sulur|Market Cut / Cinema Theatre|R.V.S. Arts College|Kongu Kalyana Mandapam|R.T.O. Office|Kangayampalayam|Airforce Sulpur|Kendriya Vidyalaya Sulur|Rayapuram|Karanampettai|Kodangipalayam,0 1 1 0 1 3 1 1 1 2 1 2 1 1 2 1 1 2 1 1 2 2 1 2 1 1 1 1 4 1 1 1 0 1 1 0 1 2 3 3 3 3 2 2 1 1 1 2 2 2 3 2 1 5 4 6,6:00AM 9:00AM 10:00AM 11:00AM 2:00PM 5:00PM 6:00PM 7:00PM 8:00PM 10:00PM
105,Kodangipalayam|Karanampettai|Rayapuram|Kendriya Vidyalaya Sulur|Airforce Sulpur|Kangayampalayam|R.T.O. Office|Kongu Kalyana Mandapam|R.V.S. Arts College|Market Cut / Cinema Theatre|Sulur|Sulur G.H.|Ranganathapuram|Narasimha Textiles|R.V.S. Institute|Ravathur Pirivu|Selvapuram|Pappampatti Pirivu|Cindhamanipudur|Saraswathi Hospital|L & T Bypass|Krishna Priya Thirumana Mandapam|Kadri Mills High School|Kamatchipuram|Sri Hari Mills|Ondipudur|Saint Joseph Matriculation Secondary School|Saint Joseph School|Jai Sai Shanthi|Shanthi Gears|Vasantha Mill|Singanallur|Uzhavar Sandhai|Boat House|Children Hospital|Rajalakshmi Mill|Central Studios|Andal Marriage Hall / Iyer Hospital|Alvernia School|Sowripalayam Pirivu|Ramanathapuram|Olympus|Chinthamani|Sungam|Air India|Rainbow|Saint Francis Anglo Indian Girls High School|Government Hospital|Town Hall|Ukkadam,0 5 4 6 1 2 3 2 2 1 2 1 2 2 3 3 4 2 2 1 1 1 1 1 1 4 2 0 1 1 2 1 2 2 1 1 2 1 1 2 1 1 2 1 2 1 1 2 3 1,6:00AM 9:00AM 10:00AM 11:00AM 2:00PM 5:00PM 6:00PM 7:00PM 8:00PM 10:00PM
77B,Ukkadam|Prakasam|Raja Street|Five Corner|Manikoondu / Town Hall|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram|Sowripalayam Pirivu|Alvernia School|Andal Marriage Hall / Iyer Hospital|Central Studios|Rajalakshmi Mill|Children Hospital|Boat House|Uzhavar Sandhai|Singanallur|Vasantha Mill|Shanthi Gears|Jai Sai Shanthi|Saint Joseph School|Saint Joseph Matriculation Secondary School|Ondipudur|Sri Hari Mills|Kamatchipuram|Kadri Mills High School|Karthik Mills|Krishna Priya Thirumana Mandapam|L & T Bypass|Saraswathi Hospital|Cindhamanipudur|Pappampatti Pirivu|Barathipuram|KIT-Kalaignarkarunanidhi Institute|Pallapalayam|Kannampalayam Pirivu|VKSM Cotton Mill|Nadupalayam Pirivu|Peedampalli|Valarmathi School|Pappampatti Post Office|Pappampatti|Aatha Thottam (Pappampatti)|Kallimedu|Balaji Nagar|Edayampalayam,0 1 1 0 1 3 1 1 1 2 1 2 1 1 2 1 1 2 1 1 2 2 1 2 1 1 1 1 4 1 1 1 0 1 1 1 2 2 2 1 1 2 2 3 5 2 1 3 3 8 0,6:20AM 8:20AM 8:50AM 9:20AM 9:50AM 10:20AM 10:50AM 11:20AM 1:20PM 3:20PM 5:20PM 5:50PM
77B,Edayarpalayam|Kallimedu|Aatha Thottam (Pappampatti)|Pappampatti|Peedampalli Pirivu|Valarmathi School|Peedampalli|Nadupalayam Pirivu|VKSM Cotton Mill|Kannampalayam Pirivu|Pallapalayam|KIT-Kalaignarkarunanidhi Institute|Barathipuram|Cindhamanipudur|Saraswathi Hospital|L & T Bypass|Krishna Priya Thirumana Mandapam|Kadri Mills High School|Kamatchipuram|Sri Hari Mills|Ondipudur|Saint Joseph Matriculation Secondary School|Saint Joseph School|Jai Sai Shanthi|Shanthi Gears|Vasantha Mill|Singanallur|Uzhavar Sandhai|Boat House|Children Hospital|Rajalakshmi Mill|Central Studios|Andal Marriage Hall / Iyer Hospital|Alvernia School|Sowripalayam Pirivu|Ramanathapuram|Olympus|Chinthamani|Sungam|Air India|Rainbow|Saint Francis Anglo Indian Girls High School|Government Hospital|Town Hall|Ukkadam Bus Stand,0 7 3 3 1 3 4 4 2 1 2 0 2 3 1 1 1 1 1 1 4 1 1 1 1 2 1 2 2 1 1 2 1 1 2 1 1 2 1 2 1 1 2 3 1,6:20AM 8:20AM 8:50AM 9:20AM 9:50AM 10:20AM 10:50AM 11:20AM 1:20PM 3:20PM 5:20PM 5:50PM
77A,Ukkadam Bus Stand|Prakasam|Raja Street|Manikoondu / Town Hall|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram|Sowripalayam Pirivu|Alvernia School|Andal Marriage Hall / Iyer Hospital|Central Studios|Rajalakshmi Mill|Children Hospital|Boat House|Uzhavar Sandhai|Singanallur|Vasantha Mill|Shanthi Gears|Jai Sai Shanthi|Saint Joseph School|Saint Joseph Matriculation Secondary School|Ondipudur|Ondipudur Sungam|Nehru Nagar|Canara Bank Irugur|Irugur Junction Railway Station|Krishna Priya Thirumana Mandapam|L & T Bypass|Saraswathi Hospital|Kannampalayam Pirivu|Cindhamanipudur|Pappampatti Pirivu|Barathipuram|KIT-Kalaignarkarunanidhi Institute|Pallapalayam|VKSM Cotton Mill|Nadupalayam Pirivu|Peedampalli|Valarmathi School|Pappampatti Post Office|Pappampatti|Aatha Thottam (Pappampatti)|Kallimedu|Balaji Nagar|Edayarpalayam|Shaswi International School|Bogampatti Pirivu|Akkanaikkanpalayam,0 1 1 1 3 1 1 2 1 1 2 2 1 1 2 1 1 1 1 2 2 2 1 2 0 1 1 2 1 5 1 3 1 1 0 1 2 2 2 1 3 2 3 4 3 1 3 3 7 1 5 4 12,8:20AM 9:20AM 10:20AM 11:20AM 2:20PM 5:20PM 6:20PM 6:30PM
77A,Akkanaikkanpalayam|Bogampatti Pirivu|Shaswi International School|Edayarpalayam|Kallimedu|Aatha Thottam (Pappampatti)|Pappampatti|Peedampalli Pirivu|Valarmathi School|Peedampalli|Nadupalayam Pirivu|VKSM Cotton Mill|Kannampalayam Pirivu|Pallapalayam|KIT-Kalaignarkarunanidhi Institute|Barathipuram|Cindhamanipudur|Saraswathi Hospital|L & T Bypass|Krishna Priya Thirumana Mandapam|Irugur Junction Railway Station|Canara Bank Irugur|Nehru Nagar|Ondipudur Sungam|Ondipudur|Saint Joseph Matriculation Secondary School|Saint Joseph School|Jai Sai Shanthi|Shanthi Gears|Vasantha Mill|Singanallur|Uzhavar Sandhai|Boat House|Children Hospital|Rajalakshmi Mill|Central Studios|Andal Marriage Hall / Iyer Hospital|Alvernia School|Sowripalayam Pirivu|Ramanathapuram|Olympus|Chinthamani|Sungam|Air India|Rainbow|Saint Francis Anglo Indian Girls High School|Government Hospital|Town Hall|Ukkadam Bus Stand,0 11 4 5 8 3 3 1 3 4 4 2 1 2 0 2 3 1 1 1 3 1 5 1 2 1 1 1 1 2 1 2 2 1 1 2 0 2 1 2 1 2 1 2 1 1 2 2 2,8:20AM 9:20AM 10:20AM 11:20AM 2:20PM 5:20PM 6:20PM 6:30PM
77,Manikoondu / Town Hall|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram|Sowripalayam Pirivu|Alvernia School|Andal Marriage Hall / Iyer Hospital|Central Studios|Rajalakshmi Mill|Children Hospital|Boat House|Uzhavar Sandhai|Singanallur|Vasantha Mill|Shanthi Gears|Jai Sai Shanthi|Saint Joseph School|Saint Joseph Matriculation Secondary School|Ondipudur|Sri Hari Mills|Kamatchipuram|Kadri Mills High School|Karthik Mills|Krishna Priya Thirumana Mandapam|L & T Bypass|Saraswathi Hospital|Kannampalayam Pirivu|Cindhamanipudur|Pappampatti Pirivu|Barathipuram|KIT-Kalaignarkarunanidhi Institute|Pallapalayam|VKSM Cotton Mill|Nadupalayam Pirivu|Peedampalli|Valarmathi School|Pappampatti|Aatha Thottam (Pappampatti)|Kallimedu|Balaji Nagar|Edayampalayam,0 2 1 2 1 1 1 2 2 1 1 2 1 2 0 2 2 2 1 2 1 1 0 2 3 1 2 0 1 1 1 0 1 1 3 2 0 3 2 3 5 3 4 3 7 0,5:20AM 7:20AM 9:20AM 9:50AM 10:20AM 10:50AM 11:20AM 1:20PM 3:20PM 5:20PM 5:45PM
77,Edayarpalayam|Kallimedu|Aatha Thottam (Pappampatti)|Pappampatti|Peedampalli Pirivu|Valarmathi School|Peedampalli|Nadupalayam Pirivu|VKSM Cotton Mill|Kannampalayam Pirivu|Pallapalayam|KIT-Kalaignarkarunanidhi Institute|Barathipuram|Cindhamanipudur|Saraswathi Hospital|L & T Bypass|Krishna Priya Thirumana Mandapam|Kadri Mills High School|Kamatchipuram|Sri Hari Mills|Ondipudur|Saint Joseph Matriculation Secondary School|Saint Joseph School|Jai Sai Shanthi|Shanthi Gears|Vasantha Mill|Singanallur|Uzhavar Sandhai|Boat House|Children Hospital|Rajalakshmi Mill|Central Studios|Andal Marriage Hall / Iyer Hospital|Alvernia School|Sowripalayam Pirivu|Ramanathapuram|Olympus|Chinthamani|Sungam|Air India|Rainbow|Saint Francis Anglo Indian Girls High School|Government Hospital|Town Hall,0 7 3 3 1 3 4 4 2 1 2 0 2 3 1 1 1 1 1 1 4 1 1 1 1 2 1 2 2 1 1 2 1 1 2 1 1 2 1 2 1 1 2 3,5:20AM 7:20AM 9:20AM 9:50AM 10:20AM 10:50AM 11:20AM 1:20PM 3:20PM 5:20PM 5:45PM
75,Irugur|Irugur Junction Railway Station|Canara Bank Irugur|Nehru Nagar|Ondipudur Sungam|Saint Joseph Matriculation Secondary School|Saint Joseph School|Jai Sai Shanthi|Shanthi Gears|Vasantha Mill|Singanallur|Uzhavar Sandhai|Boat House|Children Hospital|Rajalakshmi Mill|Central Studios|Andal Marriage Hall / Iyer Hospital|Alvernia School|Sowripalayam Pirivu|Ramanathapuram|Olympus|Chinthamani|Sungam|Air India|Rainbow|Saint Francis Anglo Indian Girls High School|Town Hall|Ukkadam Bus Stand,0 2 1 4 2 1 1 1 1 2 1 2 2 1 1 2 1 1 2 1 1 2 1 2 1 1 5 1,5:30AM 8:30AM 9:30AM 10:30AM 11:30AM 2:30PM 5:30PM 6:30PM 7:30PM 8:30PM 9:00PM
75,Ukkadam Bus Stand|Prakasam|Raja Street|Five Corner|Manikoondu / Town Hall|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram|Sowripalayam Pirivu|Alvernia School|Andal Marriage Hall / Iyer Hospital|Central Studios|Rajalakshmi Mill|Children Hospital|Boat House|Uzhavar Sandhai|Singanallur|Vasantha Mill|Shanthi Gears|Jai Sai Shanthi|Saint Joseph School|Saint Joseph Matriculation Secondary School|Ondipudur|Nehru Nagar|Irugur Junction Railway Station|Irugur,0 1 1 0 1 3 1 1 2 1 1 2 2 1 1 2 1 1 1 1 3 1 2 2 1 1 0 1 3 5 3,5:30AM 8:30AM 9:30AM 10:30AM 11:30AM 2:30PM 5:30PM 6:30PM 7:30PM 8:30PM 9:00PM
65,Gandhipuram Town Bus Stand|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram|Sowripalayam Pirivu|Andal Marriage Hall / Iyer Hospital|Central Studios|Rajalakshmi Mill|Children Hospital|Boat House|Uzhavar Sandhai|Singanallur|Vasantha Mill|Shanthi Gears|Jai Sai Shanthi|Saint Joseph School|Saint Joseph Matriculation Secondary School|Ondipudur|Sri Hari Mills|Kamatchipuram|Kadri Mills High School|Karthik Mills|Krishna Priya Thirumana Mandapam|L & T Bypass|Saraswathi Hospital|Cindhamanipudur|Pappampatti Pirivu|Barathipuram|KIT-Kalaignarkarunanidhi Institute|Pallapalayam|Kannampalayam Pirivu,0 2 3 1 1 0 0 1 1 1 2 1 2 0 3 1 1 3 1 2 1 1 2 2 1 2 1 1 0 2 4 1 1 0 1 1 1 1 1 3 2 1 1,5:40AM 6:40AM 7:40AM 8:40AM 9:10AM 9:40AM 10:10AM 10:40AM 11:10AM 12:10PM 1:10PM 2:10PM 3:10PM 4:10PM 5:10PM 5:30PM
65,Kannampalayam Pirivu|Pallapalayam|KIT-Kalaignarkarunanidhi Institute|Barathipuram|Cindhamanipudur|Saraswathi Hospital|L & T Bypass|Krishna Priya Thirumana Mandapam|Kadri Mills High School|Kamatchipuram|Sri Hari Mills|Ondipudur|Saint Joseph Matriculation Secondary School|Saint Joseph School|Jai Sai Shanthi|Shanthi Gears|Vasantha Mill|Singanallur|Uzhavar Sandhai|Boat House|Children Hospital|Rajalakshmi Mill|Central Studios|Andal Marriage Hall / Iyer Hospital|Alvernia School|Sowripalayam Pirivu|Ramanathapuram|Olympus|Chinthamani|Sungam|Air India|Rainbow|Saint Francis Anglo Indian Girls High School|Government Hospital|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|Gandhipuram Town,0 1 1 1 4 1 0 1 1 2 1 4 1 0 1 2 1 2 1 3 1 1 1 1 2 1 2 1 2 1 1 2 1 1 1 1 1 0 0 1 1 3 2,5:40AM 6:40AM 7:40AM 8:40AM 9:10AM 9:40AM 10:10AM 10:40AM 11:10AM 12:10PM 1:10PM 2:10PM 3:10PM 4:10PM 5:10PM 5:30PM
54,Ondipudur|Saint Joseph Matriculation Secondary School|Saint Joseph School|Jai Sai Shanthi|Shanthi Gears|Vasantha Mill|Singanallur|Uzhavar Sandhai|Boat House|Children Hospital|Rajalakshmi Mill|Central Studios|Andal Marriage Hall / Iyer Hospital|Alvernia School|Sowripalayam Pirivu|Ramanathapuram|Olympus|Chinthamani|Sungam|Air India|Rainbow|Saint Francis Anglo Indian Girls High School|Town Hall|Ukkadam Bus Stand,0 1 0 1 2 1 2 1 3 1 1 1 1 2 1 2 1 2 1 1 2 1 4 2,5:45AM 6:45AM 7:45AM 8:45AM 9:15AM 9:45AM 10:15AM 10:45AM 11:15AM 12:15PM 1:15PM 2:15PM 3:15PM 4:15PM 5:15PM 5:45PM 6:15PM 6:30PM
54,Ukkadam Bus Stand|Prakasam|Raja Street|Five Corner|Manikoondu / Town Hall|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram|Sowripalayam Pirivu|Alvernia School|Andal Marriage Hall / Iyer Hospital|Central Studios|Rajalakshmi Mill|Children Hospital|Boat House|Uzhavar Sandhai|Singanallur|Vasantha Mill|Shanthi Gears|Jai Sai Shanthi|Saint Joseph School|Saint Joseph Matriculation Secondary School|Ondipudur,0 1 1 0 1 3 1 1 2 1 1 2 2 1 1 2 1 1 1 1 3 1 2 2 1 1 0 1,5:45AM 6:45AM 7:45AM 8:45AM 9:15AM 9:45AM 10:15AM 10:45AM 11:15AM 12:15PM 1:15PM 2:15PM 3:15PM 4:15PM 5:15PM 5:45PM 6:15PM 6:30PM
43A,Neelikonampalayam|Singanallur|Singanallur Police Station|Uzhavar Sandhai|Boat House|Children Hospital|Rajalakshmi Mill|Central Studios|Andal Marriage Hall / Iyer Hospital|Alvernia School|Sowripalayam Pirivu|Ramanathapuram|Olympus|Chinthamani|Sungam|Air India|Rainbow|Saint Francis Anglo Indian Girls High School|Government Hospital|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|Gandhipuram Town|G.P. Hospital|Lakshmipuram|Tex Tool / Velan Theatre|Government Higher Secondary School Ganapathy|Ganesh Theatre|R.K.G. Industrial Estate|Government School|Sanganoor,0 4 0 2 2 1 1 1 1 2 1 2 1 2 1 1 2 1 2 1 0 1 0 1 0 1 3 3 1 2 3 2 1 1 2 1,5:30AM 6:30AM 7:30AM 8:30AM 9:00AM 9:30AM 10:00AM 10:30AM 11:00AM 12:00PM 1:00PM 2:00PM 3:00PM 3:45PM
43A,Sanganoor|Government School|R.K.G. Industrial Estate|Ganesh Theatre|Tex Tool / Velan Theatre|Lakshmipuram|G.P. Hospital|Gandhipuram Town|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram|Sowripalayam Pirivu|Alvernia School|Andal Marriage Hall / Iyer Hospital|Central Studios|Rajalakshmi Mill|Children Hospital|Boat House|Uzhavar Sandhai|Singanallur|Neelikonampalayam,0 0 2 1 3 2 2 2 3 2 1 1 0 1 1 1 1 1 1 2 1 2 1 2 1 1 1 2 1 1 2 2 4,5:30AM 6:30AM 7:30AM 8:30AM 9:00AM 9:30AM 10:00AM 10:30AM 11:00AM 12:00PM 1:00PM 2:00PM 3:00PM 3:45PM
52,Ukkadam|Prakasam|Raja Street|Five Corner|Manikoondu / Town Hall|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram|Sowripalayam Pirivu|Alvernia School|Andal Marriage Hall / Iyer Hospital|Central Studios|Rajalakshmi Mill|Children Hospital|Boat House|Uzhavar Sandhai|Singanallur|Vasantha Mill|Shanthi Gears|Jai Sai Shanthi|Saint Joseph School|Saint Joseph Matriculation Secondary School|Ondipudur|Sri Hari Mills|Kamatchipuram|Kadri Mills High School|Karthik Mills|Krishna Priya Thirumana Mandapam|L & T Bypass|Saraswathi Hospital|Cindhamanipudur|Pappampatti Pirivu|Barathipuram|KIT-Kalaignarkarunanidhi Institute|Pallapalayam|Kannampalayam Pirivu|VKSM Cotton Mill|Nadupalayam Pirivu|Peedampalli|Valarmathi School|Pappampatti Post Office|Pappampatti|Aatha Thottam (Pappampatti),0 1 1 0 1 3 1 1 1 2 1 2 1 1 2 1 1 2 1 1 2 2 1 2 1 1 1 1 4 1 1 1 0 1 1 1 2 2 2 1 1 2 2 3 5 2 1 3,5:25AM 6:25AM 7:25AM 8:25AM 8:55AM 9:25AM 9:55AM 10:25AM 10:55AM 11:25AM 12:25PM 1:25PM 2:25PM 3:25PM 4:25PM 5:25PM 5:55PM 6:10PM
52,Aatha Thottam (Pappampatti)|Pappampatti|Peedampalli Pirivu|Valarmathi School|Peedampalli|Nadupalayam Pirivu|VKSM Cotton Mill|Kannampalayam Pirivu|Pallapalayam|KIT-Kalaignarkarunanidhi Institute|Barathipuram|Cindhamanipudur|Saraswathi Hospital|L & T Bypass|Krishna Priya Thirumana Mandapam|Kadri Mills High School|Kamatchipuram|Sri Hari Mills|Ondipudur|Saint Joseph Matriculation Secondary School|Saint Joseph School|Jai Sai Shanthi|Shanthi Gears|Vasantha Mill|Singanallur|Uzhavar Sandhai|Boat House|Children Hospital|Rajalakshmi Mill|Central Studios|Andal Marriage Hall / Iyer Hospital|Alvernia School|Sowripalayam Pirivu|Ramanathapuram|Olympus|Chinthamani|Sungam|Air India|Rainbow|Saint Francis Anglo Indian Girls High School|Government Hospital|Ukkadam,0 3 1 2 5 3 2 2 1 1 1 4 1 0 1 1 2 1 4 1 0 1 2 1 2 1 3 1 1 1 1 2 1 2 1 2 1 1 2 1 1 4,5:25AM 6:25AM 7:25AM 8:25AM 8:55AM 9:25AM 9:55AM 10:25AM 10:55AM 11:25AM 12:25PM 1:25PM 2:25PM 3:25PM 4:25PM 5:25PM 5:55PM 6:10PM
42A,Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram|Sowripalayam Pirivu|Alvernia School|Andal Marriage Hall / Iyer Hospital|Central Studios|Rajalakshmi Mill|Children Hospital|Boat House|Uzhavar Sandhai|Singanallur|Vasantha Mill|Shanthi Gears|Jai Sai Shanthi|Saint Joseph School|Ondipudur Sungam|Nehru Nagar|Canara Bank Irugur|Irugur Junction Railway Station|Irugur|A.G. Pudur|Premier Evolvics|Kulathur|Neelambur,0 1 1 1 3 0 2 1 2 1 2 1 1 2 1 1 2 1 1 2 2 1 2 1 1 2 1 5 1 2 5 2 4 5,6:15AM 7:15AM 8:15AM 8:45AM 9:15AM 9:45AM 10:15AM 10:45AM 11:15AM 12:15PM 1:15PM 2:15PM 3:15PM 4:00PM
42A,Neelambur|Kulathur|Premier Evolvics|A.G. Pudur|Irugur|Irugur Junction Railway Station|Canara Bank Irugur|Nehru Nagar|Ondipudur Sungam|Saint Joseph Matriculation Secondary School|Saint Joseph School|Jai Sai Shanthi|Shanthi Gears|Vasantha Mill|Singanallur|Singanallur Police Station|Uzhavar Sandhai|Boat House|Children Hospital|Rajalakshmi Mill|Central Studios|Andal Marriage Hall / Iyer Hospital|Alvernia School|Sowripalayam Pirivu|Ramanathapuram|Olympus|Chinthamani|Sungam|Air India|Rainbow|Saint Francis Anglo Indian Girls High School|Government Hospital|Town Hall|Ukkadam,0 5 4 2 5 2 1 5 1 2 0 1 1 2 1 1 1 2 1 1 2 1 1 2 1 1 2 1 2 1 2 1 3 1,6:15AM 7:15AM 8:15AM 8:45AM 9:15AM 9:45AM 10:15AM 10:45AM 11:15AM 12:15PM 1:15PM 2:15PM 3:15PM 4:00PM
42,Manikoondu / Town Hall|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram|Sowripalayam Pirivu|Alvernia School|Andal Marriage Hall / Iyer Hospital|Central Studios|Rajalakshmi Mill|Children Hospital|Boat House|Uzhavar Sandhai|Singanallur|Vasantha Mill|Shanthi Gears|Jai Sai Shanthi|Saint Joseph School|Ondipudur Sungam|Nehru Nagar|Canara Bank Irugur|Irugur Junction Railway Station|Irugur,0 2 1 2 1 1 1 2 2 1 1 2 1 2 0 2 2 2 1 2 1 1 2 1 5 1 2,6:45AM 7:45AM 8:45AM 9:15AM 9:45AM 10:15AM 10:45AM 11:15AM 12:15PM 1:15PM 2:15PM 3:15PM 3:30PM
42,Irugur|Irugur Junction Railway Station|Canara Bank Irugur|Nehru Nagar|Ondipudur Sungam|Saint Joseph School|Jai Sai Shanthi|Shanthi Gears|Vasantha Mill|Singanallur|Singanallur Police Station|Uzhavar Sandhai|Boat House|Children Hospital|Rajalakshmi Mill|Central Studios|Andal Marriage Hall / Iyer Hospital|Alvernia School|Sowripalayam Pirivu|Ramanathapuram|Olympus|Chinthamani|Sungam|Air India|Rainbow|Saint Francis Anglo Indian Girls High School|Government Hospital|Town Hall,0 2 1 4 2 2 1 1 2 1 0 2 2 1 1 2 1 1 1 2 1 2 1 2 1 1 2 3,6:45AM 7:45AM 8:45AM 9:15AM 9:45AM 10:15AM 10:45AM 11:15AM 12:15PM 1:15PM 2:15PM 3:15PM 3:30PM
37,Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram|Sowripalayam Pirivu|Alvernia School|Andal Marriage Hall / Iyer Hospital|Central Studios|Rajalakshmi Mill|Children Hospital|Boat House|Uzhavar Sandhai|Singanallur|Vasantha Mill|Shanthi Gears|Jai Sai Shanthi|Saint Joseph School|Saint Joseph Matriculation Secondary School|Ondipudur|Sri Hari Mills|Kamatchipuram|Kadri Mills High School|Karthik Mills|Krishna Priya Thirumana Mandapam|L & T Bypass|Saraswathi Hospital|Kannampalayam Pirivu|Cindhamanipudur|Pappampatti Pirivu|Barathipuram|KIT-Kalaignarkarunanidhi Institute|Pallapalayam|Kannampalayam|Kannampalayam 1,0 1 1 1 3 0 2 1 2 1 2 1 1 2 1 1 2 1 1 2 2 1 2 1 1 1 1 4 1 1 1 0 1 1 0 1 2 2 2 1 5 1,5:50AM 7:50AM 9:50AM 10:20AM 10:50AM 11:20AM 1:20PM 3:20PM 5:20PM 5:30PM
